NAME,PRICE,PRODUCT_IMAGE,LOCATION,DELTA_TIME
아이폰 14프로 14pro 256g 딥퍼플,710000,https://img2.joongna.com/media/original/2024/06/28/1719556697592lgv_wMHNN.jpg?impolicy=thumb&size=150,광주광역시 북구 중흥1동,0 days 00:21:12.879154
S급! 아이폰14프로맥스 128G 화이트 96만원!,960000,https://img2.joongna.com/media/original/2024/07/10/1720605236290njQ_KOr0D.jpg?impolicy=thumb&size=150,경기도 수원시 권선구 세류2동,0 days 02:46:12.879154
"아이폰14플러스 + 에어팟프로2,케이스 등",530000,https://img2.joongna.com/media/original/2024/07/13/1720862804619RSY_IvUZK.jpg?impolicy=thumb&size=150,경기도 부천시 부천동,0 days 02:22:37.879154
아이폰14프로 딥퍼플 128기가,650000,https://img2.joongna.com/media/original/2024/07/12/17207495658945yx_OZ6ew.jpg?impolicy=thumb&size=150,경기도 광주시 광남1동,0 days 03:11:11.879154
아이폰 14프로 256,500000,https://img2.joongna.com/media/original/2024/07/01/1719786173318D75_eU7qe.jpg?impolicy=thumb&size=150,서울특별시 영등포구 대림제3동,0 days 04:46:14.879154
아이폰14프로 128G 무기스 무찍힘 상태최상,890000,https://img2.joongna.com/media/original/2024/05/30/1717026903300YmT_ytGPt.jpg?impolicy=thumb&size=150,인천광역시 계양구 작전2동,0 days 06:35:26.879154
아이폰14프로맥스 256기가 블랙 애케플 리퍼미사용,1200000,https://img2.joongna.com/media/original/2024/07/13/1720847751358SXi_lwMam.jpg?impolicy=thumb&size=150,경기도 안산시 상록구 안산동,0 days 06:30:45.879154
아이폰 14 프로맥스 1테라 애플케어플러스ㅇ,1450000,https://img2.joongna.com/media/original/2024/07/13/1720847734764Am7_qcBYv.jpg?impolicy=thumb&size=150,서울특별시 광진구 자양제4동,0 days 06:33:52.879154
아이폰14프로맥스 256G 상태굿 ^,1090000,https://img2.joongna.com/media/original/2024/06/27/1719465704524OR7_hRaIJ.jpg?impolicy=thumb&size=150,인천광역시 계양구 작전2동,0 days 06:33:59.879154
[미개봉급] 아이폰14프로 128g 골드 팝니다,1000000,https://img2.joongna.com/media/original/2024/07/13/1720847396586RYq_LYuqY.jpg?impolicy=thumb&size=150,서울특별시 관악구 난곡동,0 days 06:39:38.879154
아이폰14프로 128G 무기스 무찍힘 상태최상,890000,https://img2.joongna.com/media/original/2024/05/30/1717027107227P0J_lJ550.jpg?impolicy=thumb&size=150,인천광역시 계양구 작전2동,0 days 08:12:07.879154
아이폰14프로 128G 블랙 S급!,890000,https://img2.joongna.com/media/original/2024/07/13/1720797290850lFI_FBqM9.jpg?impolicy=thumb&size=150,인천광역시 서구 청라1동,0 days 08:29:15.879154
아이폰14프로 256G 퍼플 A급!,980000,https://img2.joongna.com/media/original/2024/07/13/1720798061745huF_V2EvN.jpg?impolicy=thumb&size=150,인천광역시 서구 청라1동,0 days 08:29:39.879154
새제품)아이폰14프로맥스(24년5월제품),1300000,https://img2.joongna.com/media/original/2024/07/10/1720617248996GH8_SaNVa.jpg?impolicy=thumb&size=150,서울특별시 광진구 구의제1동,0 days 09:00:53.879154
아이폰14프로 1테라 애케플 팝니다,1380000,https://img2.joongna.com/media/original/2024/07/07/1720308614519I3n_5J1zQ.jpg?impolicy=thumb&size=150,부산광역시 동래구 온천제2동,0 days 10:17:38.879154
아이폰14프로 128G 무기스 무찍힘 상태최상,890000,https://img2.joongna.com/media/original/2024/05/30/171702634514434F_C2VoL.jpg?impolicy=thumb&size=150,인천광역시 계양구 작전2동,0 days 10:50:17.879154
아이폰14프로 액정파손폰 구매,250000,https://img2.joongna.com/media/original/2024/07/09/1720477594808AmN_7NahT.jpg?impolicy=thumb&size=150,경기도 안양시 동안구 평안동,0 days 11:28:57.879154
아이폰 14 프로 256기가 실버 배터리 93퍼 팝니다,790000,https://img2.joongna.com/media/original/2024/07/11/172067723165655w_2aPEe.jpg?impolicy=thumb&size=150,대구광역시 달서구 진천동,0 days 12:31:59.879154
아이폰 14 프로 128기가 급처,830000,https://img2.joongna.com/media/original/2024/07/12/1720782991132Xse_X7n1t.jpg?impolicy=thumb&size=150,전라남도 목포시 산정동,1 days 00:33:59.879154
아이폰 14프로 128 급처,830000,https://img2.joongna.com/media/original/2024/07/11/1720674346885nwd_bxQdh.jpg?impolicy=thumb&size=150,전라남도 목포시 산정동,1 days 02:39:02.879154
아이폰 14 프로 128기가 급처,830000,https://img2.joongna.com/media/original/2024/07/11/17206819801763On_cmW6L.jpg?impolicy=thumb&size=150,전라남도 목포시 산정동,1 days 02:38:52.879154
아이폰14프로 실버128GB 풀박S급 판매,1280000,https://img2.joongna.com/media/original/2024/06/24/1719199558312Y2o_0Znjc.jpg?impolicy=thumb&size=150,경상남도 창원시 마산합포구 합포동,1 days 03:38:21.879154
아이폰14프로맥스 블랙 256GB 89% 액정깨끗 AA,1120000,https://img2.joongna.com/media/original/2024/07/12/1720772070135YBR_PNj4D.jpg?impolicy=thumb&size=150,경기도 부천시 상동,1 days 03:36:12.879154
아이폰14프로맥스 256G 상태굿 ^,1090000,https://img2.joongna.com/media/original/2024/06/27/1719465108850MfJ_hqUv3.jpg?impolicy=thumb&size=150,인천광역시 계양구 작전2동,1 days 06:38:55.879154
개봉새것)아이폰14프로 128G 블랙(추가등등),1080000,https://img2.joongna.com/media/original/2024/07/10/1720617412604uSn_kmj10.jpg?impolicy=thumb&size=150,서울특별시 광진구 구의제1동,1 days 05:56:01.879154
아이폰14프로맥스 256G 상태굿 ^^,1090000,https://img2.joongna.com/media/original/2024/06/27/1719441933267RbA_qDhtT.jpg?impolicy=thumb&size=150,인천광역시 계양구 작전2동,1 days 07:08:45.879154
아이폰 14 PRO 1TB 애플케어,1190000,https://img2.joongna.com/media/original/2024/05/29/1716946892717hrq_IKnNL.jpg?impolicy=thumb&size=150,서울특별시 마포구 공덕동,1 days 09:29:49.879154
애플 아이폰 14 프로 1테라 애플케어,1190000,https://img2.joongna.com/media/original/2024/05/29/17169472287226Ww_uwQZk.jpg?impolicy=thumb&size=150,서울특별시 마포구 공덕동,1 days 09:29:54.879154
아이폰 14 프로 부품용 판매합니다,300000,https://img2.joongna.com/media/original/2024/07/12/1720742065318rsf_ge2x4.jpg?impolicy=thumb&size=150,충청남도 홍성군 홍북읍,1 days 11:56:26.879154
아이폰 14프로 256블랙,1000000,https://img2.joongna.com/media/original/2024/07/11/1720658000039v5k_v2CmM.jpg?impolicy=thumb&size=150,경기도 용인시 기흥구 신갈동,1 days 23:02:54.879154
아이폰 14프로 512기가 후면 파손 공기계,800000,https://img2.joongna.com/media/original/2024/07/11/1720687612562s3j_IzSct.jpg?impolicy=thumb&size=150,서울특별시 동대문구 장안제1동,2 days 03:01:15.879154
아이폰 14 프로 맥스 256,900000,https://img2.joongna.com/media/original/2024/07/04/1720064923321HiZ_XaSi2.jpg?impolicy=thumb&size=150,충청남도 천안시 서북구 성정1동,2 days 03:43:50.879154
아이폰14프로 256g 판매합니다!!,950000,https://img2.joongna.com/media/original/2024/07/04/1720073207695I88_drHHb.jpg?impolicy=thumb&size=150,서울특별시 강남구 신사동,2 days 03:36:37.879154
아이폰14프로맥스 퍼플 128GB AAA급 판매,1000000,https://img2.joongna.com/media/original/2024/07/03/1719996379792tbj_fBQyy.jpg?impolicy=thumb&size=150,경기도 부천시 상동,2 days 07:50:47.879154
아이폰14프로128G 베터리87 우체국택배,890000,https://img2.joongna.com/media/original/2024/07/06/1720228723582Pfm_AJ2dU.jpg?impolicy=thumb&size=150,경기도 고양시 일산서구 주엽1동,2 days 11:21:41.879154
아이폰 14프로 256기가 골드 풀박스 판매합니다,950000,https://img2.joongna.com/media/original/2024/07/09/1720486369564tUu_co1We.jpg?impolicy=thumb&size=150,전라북도 익산시 영등1동,2 days 14:40:50.879154
아이폰 14 프로 맥스 512기가 애케플 25년2월,1,https://img2.joongna.com/media/original/2024/06/29/1719590058604330_81Fog.jpg?impolicy=thumb&size=150,강원특별자치도 태백시 황지동,2 days 19:11:12.879154
아이폰 14 pro max 256GB,1150000,https://img2.joongna.com/media/original/2024/07/04/1720096578089TdC_NxSPz.jpg?impolicy=thumb&size=150,충청남도 아산시 온양4동,2 days 20:01:52.879154
아이폰14프로맥스 128G A급 배터리98%,1065000,https://img2.joongna.com/media/original/2024/07/10/1720601710776KaH_qcDtT.jpg?impolicy=thumb&size=150,경기도 평택시 신평동,3 days 02:54:35.879154
아이폰14프로,820000,https://img2.joongna.com/media/original/2024/07/10/1720588329391MhE_JSiP8.jpg?impolicy=thumb&size=150,경기도 고양시 일산동구 중산1동,3 days 06:37:29.879154
